School Name,Conference,Strength of Statement (Mentioning Good Cops) 1-7,Strength of Statement,Statement Link,Statement text,On Twitter?,"""Murder/Killing""","""Institutional/Systemic Racism""","""George Floyd""","""Breonna Taylor""","""Mentions-Blackness/Discrimination against Black people""",Taking Action?,"""Issue of Police""",Good Cops?,Follow up/updated statement?,Follow up Link
Georgia Institute of Technology-Main Campus,ACC,4,4,https://president.gatech.edu/blog/statement-george-floyd?utm_campaign=daily-digest&utm_medium=email&utm_source=dd-article:13964|2020-06-01,"Like many of you, I have struggled to process the senseless, heartbreaking killing of George Floyd by a police officer in Minneapolis. It is hard not to see a pattern of violence against black people when this tragic death comes on the heels of Ahmaud Arbery’s shooting right here in Georgia, Breonna Taylor’s in Kentucky, and so many others before them across our country. I acknowledge the pain many members of our community are feeling, and I stand in solidarity with our African American brothers and sisters and all people of goodwill, as we find a path forward. 

There is much soul-searching we need to do as a society. We all share in the responsibility to deliver on our foundational belief that all people are created equal and are endowed with the same fundamental rights. While we demand change from those with the power to enact it, we must also ask what each of us can do to make good on that promise. And that includes all of us at Georgia Tech. 

For the past few months, we have worked together on a new vision of inclusion, public service, and impact. That vision requires that we open the doors of opportunity to more people of underrepresented backgrounds. That we reduce barriers of access that still persist and that have nothing to do with talent. That we reject the status quo and do better. That we listen to and work with our students to create a more inclusive environment where people of all backgrounds can learn and grow. That we educate students who can think critically about the society we live in and can lead us to a better place. 

As scholars and researchers, we need to ask ourselves how the science and technology we advance and the theories and solutions we propose help all of us live better lives. As alumni and leaders in business and society, we need to hold ourselves to a higher standard of equal opportunity, inclusivity, and impact. 

Last September, we had the privilege to meet, listen to, and honor the first four African American students in the Institute’s history. That day helped me better appreciate our long struggle to become more just and inclusive — and how, by being more just and inclusive, we have become much stronger. Today, we must reflect on how much further we have to go. 

I encourage all of us at Georgia Tech to be true to our motto of Progress and Service, to deliver on our mission to develop leaders who advance technology and improve the human condition. Those aren’t just words on a page. We have a responsibility to our campus community, to our local community, and to our nation to help change our world for the better. We have a responsibility to empower and include more people, backgrounds, and perspectives in the process. 

",No,Yes,No,Yes,Yes,Yes,No,No,No,,
Gonzaga University,,3,3,https://www.gonzaga.edu/news-events/stories/2020/5/30/university-statement-on-the-death-of-george-floyd,"Dear Gonzaga Community:

Like so many of you watching the national news last evening and the days before, we at Gonzaga, and I personally, are very affected and troubled by the graphic images of George Floyd being traumatized, enduring physical harm at the hands of those assigned to protect people, and then dying in their custody. It is but the latest in a series of recent such incidents and I share the outrage expressed by protestors, so many of them our students' age, protesting in multiple cities across the country.

Gonzaga University is a community that has chosen to focus on and pay attention to systematic injustice. Our work is aided and supported by colleagues in areas such as the Office of Diversity, Equity and Inclusion (DEI) and the Unity Multicultural Education Center (UMEC) within Student Development. We are blessed to have entities such as the Institute for Hate Studies, and the Center for Human and Civil Rights, that track and interpret events, like the murder of George Floyd – an action whose impact may well result in increased expressions of prejudice, racism, and bias. The work of these Institutes and Centers, as well as the courses and pedagogies developed in the Department of Critical Race and Ethnic Studies (CRES), Native American Studies, and in many other departments, from History to Women's and Gender Studies, aligns with and animates our mission to educate students for and with others.

At this critical juncture in US racial and ethnic history, it is important to remember that a founder of the Jesuits, Saint Ignatius of Loyola, was a member of a group now minoritized in their nation; a respect for difference is also at the heart of many Ignatian teachings. The fear equated with differences based on color, in this country, is profound, and has a particular pattern of having been codified and institutionalized in law, in practice, and in social and cultural values; it is a fear worthy of acknowledgment and of analysis. We are called, as is stated sometimes in common vernacular, to ""own"" this history as much as we obligate ourselves to resisting, interpreting, and evaluating behaviors borne out of racialized pasts.

The Gonzaga community joins with so many others in offering our condolences to the family of George Floyd, his brothers and sister who have shared their grief publicly, and share as well our concern for protesters displaying their grief and anger in ways that have also claimed lives and injuries. We are all cognizant of the impact destruction of property has on cities, in neighborhoods, and on the business owners who are in the path of the outrage expressed. While it is never appropriate to set fires, loot, or respond in physically injurious ways to officers of the law and to first responders, we have witnessed this level of emotion and destruction repeatedly across our nation’s history. Applicable to far too many events in the racial past of this country is what Dr. Martin Luther King named in one of his many exacting speeches: ""What is it that America has failed to hear?"" Increased militarization to ""restore"" order has its own problematic history; and as many seek a way to express their emotions or politics about George Floyd's death, and that of so many others before him, as a Jesuit, Catholic, and humanistic university, we can offer prayers, but we can do even more: to practice a faith that does justice, whether we endorse or support, or not, what is happening right now in this country's cities. I remember as a child in rural New Mexico hearing MLK's speech before the Los Angeles Democratic Club – to paraphrase but deeply etched in my memory: how the hot, burning fires of one summer, we must remember, followed a cold, cold winter of despair. It well may be that this, too, is what we are seeing before us, amplified in contexts of self-isolation or social distancing, and with far fewer visible outlets to mark poverty, anguish, and need.

As our university president stated in the context of the racial violence in Charlottesville, Gonzaga stands in solidarity with all those who oppose hate, who oppose prejudice, who oppose racism – and daily affirms its commitment to working proactively and constructively to create a culture and society where the dignity of each and every individual is treasured, honored, and celebrated, and the words “equity,” “inclusivity,” and “justice” are truly hallmarks of our way of proceeding.

Even as our own emotions are likely running high, may we listen carefully to, and help, one another, in this difficult national moment.

Black lives matter,

Deena J. González, Ph.D.
Provost and Senior Vice President",No,No,Yes,Yes,No,Yes,No,No,No,,
Grinnell College,,,,No Statement,,,,,,,,,,,,
Hanover College,,2,2,https://www.hanover.edu/about/news?article=8713,"In addition to the challenges posed by the coronavirus, our nation is facing significant unrest as a result of continuing racial injustice. The nationwide protests sparked by the death of George Floyd – and so many others – are stark reminders of how far we have yet to go to achieve racial justice. As Hanoverians, we must recommit ourselves to this cause.

While there is much to do as a nation, there is also much we can do as a college community. As I have said many times, Hanover College seeks to be more diverse and inclusive, but we must acknowledge our failures as well as our progress.

Although we cannot change history, we can confess it and learn from it. We can do better to welcome and support ethnic and racial diversity, diversities of sexuality and gender identity, neurodiversity, religious diversity, first-generation college students, the diversity of physical abilities, and working-class families.

For months, we have been working on Hanover College’s first Diversity Action Plan. A draft will soon be shared with the broader community for input and reflection. In it we will name concrete actions the College will take over the next one to three years to work for social and racial justice. But we know this vital work has no end date.

The pursuit of justice must be wide-ranging, but it begins with work within the learning community that we love. Thank you for supporting the changes needed to make Hanover College a more welcoming place for everyone to belong. And thank you for engaging as citizens in the pursuit of justice for all.

Sincerely,

Lake Lambert, Ph.D.

President",No,No,No,Yes,No,No,Yes,No,No,,
Harvard University,Ivy League,3,3,https://www.harvard.edu/president/news/2020/what-i-believe?utm_source=twitter&utm_campaign=hu-twitter-general&utm_medium=social,"Dear Members of the Harvard Community, 

The last several months have been disorienting for all of us. COVID-19 has profoundly disrupted the lives of people worldwide. It has caused more than 365,000 deaths around the globe and more than 100,000 in the United States alone. Forty million Americans have lost their jobs, and countless others live in fear of both the virus and its economic consequences. 

In the midst of this incomprehensible loss, our nation has once again been shocked by the senseless killing of yet another black person—George Floyd—at the hands of those charged with protecting us. Cities are erupting. Our nation is deeply divided. Leaders who should be bringing us together seem incapable of doing so. 

I cannot help but think back to 1968, the spring of my junior year in high school. First, Dr. Martin Luther King Jr. was assassinated, then Bobby Kennedy. Riots broke out in nearby Detroit, as they did across the country. Then, like now, our nation was hugely polarized, and we desperately struggled to find common ground that might unite us. 

At the time, hope was in short supply. It seemed difficult to imagine how we would move forward, but we did. As I think about the challenges that we face today, I return again and again to what I believe: 

I believe in the goodness of the people of this country—and in their resilience. 

I believe that all of us, liberal and conservative, Democrat and Republican, whatever our race or ethnicity, want a better life for our children. 

I believe that America should be a beacon of light to the rest of the world. 

I believe that our strength as a nation is due in no small measure to our tradition of welcoming those who come to our shores in search of freedom and opportunity, individuals who repay us multiple times over through their hard work, creativity, and devotion to their new home. 

I believe in the American Dream. 

I believe in the Constitution, the separation of powers, the First Amendment—especially the right to a free and independent press that holds those in power accountable, and to a free and independent judiciary. 

I believe in the 14th Amendment’s guarantee of equal protection of the laws—for everyone, not just for those who look like me. 

I believe that no person is above the law regardless of the office they hold or the uniform they wear. Those who break the law must be held accountable. 

I believe that one measure of the justness of a society is how it treats its most vulnerable members. 

I believe we must provide opportunity to those who may not encounter it on their own so that they may achieve their full potential. 

I believe in the power of knowledge and ideas to change the world, of science and medicine to defeat disease, of the arts and humanities to illuminate the human condition. 

This is just some of what I believe. I hope you will pause during these troubled times to ask what you believe. Even more importantly, I hope you will find the strength and determination to act on your beliefs—to repair and perfect this imperfect world. Those of us privileged to work or study at a place like this bear special responsibilities. As Luke teaches us, from those to whom much is given, much is expected. 

Sincerely, 

Larry",Yes,Yes,No,Yes,No,Yes,No,No,No,,
Haverford College,,7,7,https://www.haverford.edu/college-communications-president/news/president-raymond-becoming-anti-racist,"Friends, 

I reach out to connect with you via words of invitation so that we can, together and individually, connect via action. 

I offer this invitation during a month of grief, fury, and fear across the nation about the killings of Black Americans George Floyd, Breonna Taylor, and Ahmaud Arbery, which come juxtaposed upon our increasing clarity of the disproportionately harmful impacts of the COVID-19 pandemic on communities of color in the United States. These killings are part of the growing list of killings of Black Americans that involve police or flawed law enforcement processes; these COVID-19 health disparities are part of systemic racial injustices in the US that include employment, health, public education, incarceration, and civil rights. 

To our Black students, staff, and faculty and to all our students and colleagues of color: I join you in grief, anger, and outrage while acknowledging—and decrying—that you bear the undue burdens of lives at risk and collective trauma when structures meant to provide civil and health protections fail. 

To those of you in the White majority at Haverford College, I seek to inspire and invite us all, and to inspire Haverford College, to grow our intellectual, social, and emotional intelligence about racism, inequality, and inequities - racism and inequities in America and racism and inequities in our own ways of knowing and being. We White members of this community need to take responsibility for doing this work. I invite all of us not yet on this path to join our students, faculty, staff, and alumni who already actively practice anti-racism, recognizing that the goal of anti-racism sits firmly in the educational mission and values of Haverford College, including the Quaker value of equality. 

For those not familiar with the term “anti-racist,” I invite you to see yourself in it and in our aspiration. I have compiled a set of resources below that is by no means complete but may provide a start. Please expand upon this; I welcome all suggestions. 

Thank you to those of you who are moving us toward this anti-racist aspiration, and for the many who have done so across Haverford’s history. In particular, I applaud our students and alumni, who often lead by alerting us to the ways and extents to which we must change—often whole cloth—in order to teach, mentor, and be in community inclusively. This generally requires persistence and risk, debts that we will owe perhaps forever, unless we might be able to pay them forward by the positive impacts of our anti-racist future. 

We have learned so much in a few months about a scourge previously unknown to humans – COVID-19. What are our reasons for allowing the scourge of racism to continue? Let us all apply our capacities to learn, create, adapt, discover, and thrive to becoming an anti-racist institution. For if not at Haverford, where? 

Words are important, and words are not enough. I hope you will accept my invitation to action. 

Yours, 
Wendy 



Resources: 

Being Anti-Racist, from the National Museum of African American History and Culture 

An Antiracist Reading List, by Ibram X. Kendi 

Anti-Racism Resources for White People and Parents",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
Hendrix College,,,,No Statement,,,,,,,,,,,,
Howard University,,5,5,https://newsroom.howard.edu/newsroom/article/12601/office-president-addressing-th,"Dear Howard University Community,

Recent months have cast a long shadow as the pandemic continues its deadly toll on the nation ravaging Black, Brown and Native American communities in particular. And in the midst of such anguish, the images of Black Americans treated without humanity and – in some cases – brutalized in the last moments of their earthly lives’ triggers waves of emotion including staggering grief and righteous anger. 

This constant attack on the Black experience must end.

I am the proud father of two precocious teenagers. Like many parents we have very purposely had “The Talk” – the unwelcome but necessary conversation about how to prepare for engagement with law enforcement. Watching these modern-day examples of social injustice and unrest in the presence of my 15-year-old son has brought up some difficult conversations. He reminded me of a time when we were heading to campus and were pulled over. I personally don’t recall all the details of that stop. However, my son vividly remembers the anger he felt as a result of the interaction. Upon seeing the news out of Minneapolis, he turned to me and asked, “Dad, should I just fall to the ground if a cop approaches me?” Praying for the right words to say, I told him that he should remain calm and try to express himself to the best of his ability. Yet, even after struggling through that conversation, the myriad names of innocent Black lives taken through lethal force – young and old, men and women – testify to the insufficiency of that advice. 

This moment of compounding crises leaves little doubt that the daily experience of so many in our community remain marked by heightened vulnerability and a likelihood to encounter deadly force at the hands of misguided individuals or those whose bigoted views betray the oaths they swore to protect and serve. 

Howard University emerged from the ashes of the American Civil War, a conflict that raised but hardly resolved the racial divide in this nation. Firmly rooted in a promise that offered the transformative power of education to all, Howard has consistently taught that the highest use of knowledge gained at the Mecca is demonstrated in service above self; focused on addressing systematic injustices and entrenched interests antagonistic to our enjoyment of life and liberty. Our scholars have enlightened, our physicians have healed, our lawyers have advocated, our activists have agitated, our entrepreneurs have built, our counselors have comforted, and our artists have enriched even life itself.

Our nation would be a shadow of itself and remain as imperfect as it was at its inception without the contributions of Howard University and all it stands for. 

In the context of current events there must always be accountability for all found responsible through a fair and thorough investigation so that justice is served. Yet even as we see individual perpetrators on our screens, we must remain mindful that the distorted worldviews and ugly biases have too often been codified into inequitable or predatory systems are equally culpable. The book of Ephesians reminds us “For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places.”

We were born for such a time as this. And I am convinced that institutions like Howard University are destined to continue to build, mold and train the leaders who will help bring needed change to the structures of our society.

No pandemic, no declining economy, no period of prosperity, and no cure for every medical ailment will undo or hide the realities of the Black experience. We must bring consistency to that struggle and focus our intellect and passion daily to prepare for the hard work that must be done to confront evil and systematic oppression. 

As students: remain vigilant about your studies. You are matriculating through Howard University for a purpose that is greater than yourselves. You are the hope of our ancestors and despite the new challenges that will come our way, each day that you remain resolved to focus on your destiny is a day that brings us closer to resolution to many of our world’s dilemmas.

As faculty: continue to focus our energies and concern on our students so that they would be nurtured, thrive and excel. We all are intricately woven into the fabric of the Howard University legacy. Keep researching, writing, and speaking out to craft solutions to the contemporary challenges we face. We must be diligent in our work and conversations with students to hear and walk with them through these trying times. 

Let’s not forget that we are all living these experiences in our daily lives outside of Howard. It is everywhere that we are. Let’s first start by not looking past each other wherever we may be and work on actively loving each other. 

In this moment it is necessary to grieve over another life taken unnecessarily and those who loved him who are now broken and left behind to mourn. It’s okay to be angry. It’s okay to be sad. It’s okay to feel numb. Stay there as long as you need to. I encourage you to take those feelings and channel them into something durable. Write about it. Sing about it. Participate in the electoral process and vote about it. 

We must remember the names of George Floyd, Ahmaud Arbery, Atatiana Jefferson, Breonna Taylor and the countless other lives gone too soon. 

We can honor their memories through a life of purpose in confronting and correcting those skewed systems until they respect the humanity and inherent dignity in each of us.

Excellence in Truth and Service,

Wayne A. I. Frederick, M.D., MBA

President",No,No,Yes,Yes,Yes,Yes,No,Yes,No,,
Iowa State University,Big 12,0,0,https://www.baylor.edu/president/doc.php/356940.pdf,"Statement by the Big 12 Conference Board of Directors

As a conference representing thousands of students, faculty, and staff from all walks of life, we are committed to fostering a culture of inclusivity and respect in our campus communities. Acts of racism and violence, no matter their origin or target, contradict this core commitment we share within the Big 12 Conference. Recent incidents of racial violence underscore the need for us and for all Americans to joion together in addressing matters of racism and injustice in a united, meaningful way.",No,No,No,No,No,No,No,No,No,No,
Indiana University-Bloomington,,2,2,https://twitter.com/IUPUI/status/1267139389207052288/photo/1,,Yes,No,No,Yes,No,Yes,No,No,No,,
James Madison University,,1,1,https://www.jmu.edu/news/2020/05/31-buiding-a-better-tomorrow.shtml,"Dear JMU Students,

I write today with a heavy heart, deeply saddened and disturbed by the recent incidents of hatred and senseless acts of violence against people of color, individuals from disadvantaged backgrounds, and other marginalized groups in American society. For far too long, we have witnessed tragedies and injustices that have resulted from our collective failure to live up to the promise of a democracy that is of, by, and for the people — all the people. We know this grief and pain extends throughout our community, and want you to know that on behalf of the institution and as an individual, I stand with you. We will do everything we can to help create a better tomorrow — one in which no individual has to live in fear that they may someday become a target of hate.

As an institution of higher education, James Madison University has an obligation to you, our students, that we will do everything we can to equip you to go into the world and address the systemic issues that plague our nation. JMU leadership, faculty and staff strive every day to create an environment that is conducive to that charge, that is diverse and inclusive, and where every Duke is respected and affirmed. And as an educational institution, it is our responsibility to call out these issues, critically examine the underlying causes, and identify ways to use our knowledge and skills to make positive change. At a time when there is so much hurt, fear and uncertainty, there is much work to be done on this front to make sure that as a university we emerge as a beacon of access, diversity, inclusion, and hope — accepting and embracing all differences.

You know better than anyone that at its core, the Madison experience is about people. JMU is a community of individuals from every imaginable background, and it is important in these times to address these challenges together, to build strength and solidarity among us, and to reaffirm our shared values of mutual respect and equity. For this reason, JMU will be hosting a number of virtual events including Virtual Town Halls, the first to be held this coming week, hosted by the James Madison Center for Civic Engagement, and a second the following week co-hosted by JMU Student Affairs and Academic Affairs. Details are forthcoming, but these events will be an opportunity for our community to learn from experts and discuss the role each of us has to play in creating a more inclusive society. Working with student leaders and organizations, we are also planning other events and activities over the summer on these issues. In addition, we are planning to host a variety of in-person events this fall during which we can focus on these topics together. Leaders within Academic Affairs are also having conversations about infusing these issues to an even greater extent in our curriculum and academic programming.

Dr. Martin Luther King Jr. taught us that injustice anywhere is a threat to justice everywhere. We are proud of our students who have been working peacefully to build a more just nation, but it takes every single one of us being the change we wish to see in this world to make a measurable difference. We encourage you to attend the upcoming Virtual Town Halls. If you have ideas you would like to share, you can also be in touch with JMU’s Center for Multicultural Student Services, Office of Disability Services, Access and Inclusion Office, Madison Center for Civic Engagement, or Sexual Orientation, Gender Identity and Expression Office. We also encourage you to reach out to campus support services if you need help, including JMU’sDean of Students, or the Counseling Center.

Now, more than ever, we must lift each other up and affirm one another. Remember always that you have a home at JMU, as part of a community that supports you and is walking alongside you in our desire and demand for positive change and a better future.

Sincerely,

Jonathan Alger
President, James Madison University",No,No,No,No,No,No,Yes,No,No,,
Johns Hopkins University,,4,4,https://hub.jhu.edu/2020/05/31/johns-hopkins-statement-in-solidarity-against-racism/,"Dear Members of the Johns Hopkins Community, 

In the past three months, across the U.S. and around the globe, we have experienced extraordinary challenges due to the COVID-19 pandemic. In communities of which Johns Hopkins is a part—from Baltimore City, Washington, D.C., Prince George's, Howard, and Montgomery Counties to St. Petersburg, Florida, and many more—we have witnessed our African American, Latinx, Native American, and poverty-stricken communities disproportionately dying from COVID-19, while our Asian and Asian American communities have been targeted with vitriol because of the disease's origins. People have lost family members, and the economic impact of this pandemic has led to many people having lost their jobs. 

This has been a tremendous burden for many to bear. The recent death of George Floyd in Minneapolis as well as the deaths of Breonna Taylor, a first responder in Louisville, Kentucky, shot in her own bed while sleeping; Ahmaud Arbery, shot while jogging near Brunswick, Georgia; and far too many others reinforce the brutal truth that the African American community still remains vulnerable to senseless violence, even during a pandemic. For those of us in Baltimore, these tragedies also call to mind the death of Freddie Gray while in police custody five years ago. And this moment serves as a reminder of the compounding effects on our communities. 

Because we are all intricately connected by our common humanity, if one segment of our community is hurting, it adversely impacts all of us. This is not just an issue for African Americans; it is an issue that threatens the future for all Americans. 

We hear the needs of the Johns Hopkins community to have an honest dialogue about these issues and develop steps to address them through our daily activities and relationships, scholarship and teaching, and health care delivery and leadership. We must acknowledge that these vulnerabilities to violence and health crises faced by black and brown communities are born out of continued racial disparities in education, employment, housing, and criminal justice. To that end, under the leadership of the JHM Office of Diversity and Inclusion and in collaboration with other groups across Johns Hopkins, we will host a Journeys in Healing symposium series, ""The Language of the Unheard: A Virtual Town Hall on Racial Injustice,"" in early June. More details will follow once dates have been solidified. 

We also recognize and acknowledge the anguish that these recent incidents are causing for our faculty, students, staff, trainees, and alumni across the Johns Hopkins family. We encourage you to access the many supportive services available. At JHM, these services include mySupport, Spiritual Care and Chaplaincy, the Office of Well-Being, the Department of Psychiatry and Behavioral Sciences, and the JHM Office of Diversity and Inclusion. University affiliates can reach out to mySupport, find student wellness resources at wellness.jhu.edu or on the Student Outreach and Support site, or contact the Office of Institutional Equity for assistance. 

During this time of immense challenge, let us work together to be a light to facilitate education, healing, connection, support, and service to each other and to our community. 

Sincerely, 

Ronald J. Daniels President Johns Hopkins University 

Sherita Hill Golden, M.D., M.H.S. Vice President and Chief Diversity Officer Johns Hopkins Medicine 

Paul B. Rothman, M.D. Dean of the Medical Faculty CEO, Johns Hopkins Medicine 

Kevin W. Sowers, M.S.N., R.N., F.A.A.N. President, Johns Hopkins Health System EVP, Johns Hopkins Medicine",Yes,No,No,Yes,Yes,Yes,Yes,No,No,,
Kenyon College,,7,7,https://blogs.kenyon.edu/campus-report/post/thoughts-on-the-aftermath-of-recent-events/,"Dear members of the Kenyon College community, 

I have been president of Kenyon for seven years now, and I have lost count of the number of community messages or events mourning the loss of Black lives to police or vigilante violence. We’ve had faculty panels, marches, candlelight vigils. I’ve written letters and blog posts. We’ve had guest speakers and group readings. Yet this summer the tragedy continues to mount: Ahmaud Arbery, Breonna Taylor, George Floyd. And while I watched the video of Mr. Floyd’s life being senselessly and brutally extinguished, my deep sadness was exceeded only by my powerful anger. After nearly seven years of many of us asserting that Black Lives Matter, America consistently presents the Black community with evidence to the contrary. The nationwide protests are an expression of that anger, as well as a reflection of voices that have long been ignored or silenced. 

I know that many of you share this feeling of sadness and anger. There are not many words I can offer that can address this adequately, nor should there be: This is one of those moments when some may need to feel the anger for a while before it can be fully processed and focused. 

Yet no one becomes an educator, or pursues an education, without having some enduring optimism that can help us move beyond anger. The acts of teaching and learning are intrinsically about the future, about generations of students reaching their full potential and through their success improving the world around us. That is not an easy path, nor a straight one; and all of us make mistakes along the way. But undoubtedly, we were all drawn to Kenyon because we have hope, not only for a more just future, but for our ability to shape that future. 

In that spirit, I do have some suggestions on actions to take to help process our anger. 

Dissent is a critical component of a liberal arts education. Protest is a powerful form of expression of dissent; march if you feel moved to do so. Please be safe: There is guidance for safe practice at protests (especially during the COVID-19 pandemic) here, here (PDF) and here. There is a peaceful gathering on the square in Mount Vernon Monday, June 1, at 6 p.m. If marching is not for you, write, speak, talk to others, find ways to make your voice heard. 

If you are not familiar with the deep history and legacy of violence against the Black community in the United States, and how this has a powerful impact on the lives of all Black Americans, this is a good time to study. For history, I’d recommend Ibrahim X. Kendi’s “Stamped from the Beginning” or Jill Nelson’s “Police Brutality: An Anthology” as places to start. For policy proposals to reform policing, see Campaign Zero. If poetry is where you’d like to start, read Claudia Rankine's “Citizen” or Evie Shockley’s “can’t unsee.” If you prefer podcasts, try this episode of Code Switch, or an episode of the Ezra Klein podcast on health disparities by race. Or, take one of the great courses from our faculty in African diaspora studies. 

If you have the means, lend support to those who are struggling. This can take the form of simple outreach and emotional support (“I am here for you”). It can involve volunteering for efforts to reform the justice system and make it more equitable. It can mean contributing to efforts to support protests or support communities that have been impacted by the protests. Moreover, there is still work to do to make the Kenyon community more inclusive, and we can use the lessons of these events to examine and propose change here in Gambier. 

As I wrote in the aftermath of the Tamir Rice shooting in 2014, “all of us at Kenyon make a commitment to lead well-examined lives, to understand the complexity behind tragic events, to learn lessons from both history and present-day, and to apply these lessons as we move beyond the Hill. The study of the liberal arts is not intended to be an exercise in self-indulgence. Rather, we engage in the study of the liberal arts because of an ancient belief that an understanding of the humanities, of art, and of the sciences (natural and social) makes us better citizens.” Keeping this in mind, here in 2020 we can formulate a short-term path for moving forward: Raise our voices in dissent, educate ourselves about the matters at hand, and find ways to take concrete action, beyond Gambier and here on campus. 

Yours truly, 

Sean Decatur 
President",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
Lafayette College,,5,5,https://news.lafayette.edu/2020/05/29/message-to-the-lafayette-community/?utm_source=twitter&utm_medium=social-media,"To the Lafayette Community:

At a time when all of us have experienced a sense of fear and disempowerment as a result of COVID-19, it is important to remind ourselves that some members of our community have an enormous additional burden to bear.

The death of Ahmaud Arbery, the death of Breonna Taylor, and the death of George Floyd in an incident that has led to a police officer being charged with murder: these losses are tragic reminders of the risks that come with being black in America.

To compound the impact of these events, they take place against the backdrop of a national tragedy in which more than 100,000 people have died, with studies showing disproportionate losses in nonwhite, particularly African-American, communities. As analyses are already beginning to reveal, inequality and structural racism have had profound public health consequences in this crisis.

The anxiety and anger felt by many of us at this time are especially difficult to process when we do not have the opportunity to gather as a community. Were the College in session, we could organize discussions and gatherings that would provide opportunities for sharing, support, and activism.

Over the last few months, we have all learned to work hard at maintaining our sense of connection over long distances. I hope that even though we are far apart, we can look for opportunities to show support now and pledge action in the future. It is not enough simply to bear witness to racism and acknowledge that it exists. As an educational institution, Lafayette College has a role to play in revealing and countering its effects. That is a task that I promise you we will take up when we meet again.

President Alison Byerly",No,Yes,Yes,Yes,Yes,Yes,No,No,No,,
Liberty University,,2,2,https://twitter.com/JerryFalwellJr/status/1267552907949494273,Murder is murder. Heartbroken by George Floyd’s ruthless murder! The officer(s) should receive the maximum punishment in Minnesota. Praying for the Floyd family daily!,Yes,Yes,No,Yes,No,No,No,No,No,,
Lipscomb University,,,,No Statement,,,,,,,,,,,,
Louisiana State University and Agricultural & Mechanical College,SEC,1,1,https://lsu.edu/together/,,No,No,No,No,No,Yes,No,No,No,,
Loyola University Chicago,,2,2,https://www.luc.edu/president/stories/fromgrieftoaction/,"May 31, 2020

Dear Loyolans,

Once again American society is witnessing outrage over the systemic racism that has led to the murders of women and men of color in the past weeks. The response understandably has been anger and fierce opposition to those who have betrayed their charge of upholding the law and protecting people by abusing their power and committing these heinous crimes of violence. Members of our own community feel these tragedies on a very personal level, yet again, and are not “all right.” We have also seen prejudice and hostility against people of Asian descent who are inappropriately being blamed for the outbreak of the coronavirus. We are keenly aware that members of black and brown communities have been disproportionately affected by the COVID-19 pandemic in terms of infection and mortality. Naturally, we want to express solidarity with the individuals, families, and communities of color who continue to be victimized unjustly. But words are not and never will be enough. 

As I said in my address at last September’s Faculty Convocation:

... just issuing statements about tragedy and injustice is not the calling of our University, nor of me as our president. It is too easy for us to add our comments to a cacophony of others and feel in some way as though we did our part, took a stand, and will impact change through our mere words. The lists grow long with each successive horrible tragedy but are soon forgotten when the next tragedy strikes, which it does with predictable regularity.
In short, it is easy to just talk. The more that university presidents—the more that I on behalf of Loyola University Chicago—have to confirm formal opposition to sexism, racism, homophobia, xenophobia, antisemitism, white supremacy, misogyny, domestic terrorism, or any of the social malignancies that tear at our democracy, the more ineffective such statements become. Make no mistake, we are vehemently in opposition to each and every one of these. However, our society does not need more statements from me. It needs more education and action from all of us.
I want to reassure everyone that I, as President, and we as the Loyola community are outraged at the acts of violence perpetrated by police against people of color in the United States. The real question is what are we going to do about contributing to healing this cancer within American society? Loyola University Chicago is called to reconcile, repair, heal, and educate. We are called to act.

I am calling on our Loyola community of faculty, staff, students, and alumni to find ways to come together and respond to the scourge of white supremacy and what Pope Francis has called the globalization of indifference. University experts, we need you and your expertise in law, medicine, public health, economics, ethics, criminal justice, social work, education, sustainability, history, sociology, and so many other vital fields now more than ever to help us ask the right questions and develop actionable responses. 

How do we begin to change our society, being unafraid to tackle the most vexing of society’s problems? How do we reflect right ordered relationships where possessions, money, and power are not more important than people? Channel your outrage and use the energy to devise solutions to these problems that plague us. Our people of color must stop having to live in fear of the police, in fear of getting mortally sick, and in fear of losing a dangerous, low-paying job because there is no alternative. This is our problem. We must address it because that is what we are called to do. 

I have asked Provost Grzywacz to bring together the experts across all of our schools to work together to offer concrete solutions to making change happen. An announcement from the Provost’s Office will be forthcoming this week. Let us pray for peace, for the victims and their families, for our society, and for our willingness and commitment, as Loyolans, to embrace the challenge that is before us.

Jo Ann Rooney JD, LLM, EdD
President",No,No,Yes,No,No,No,Yes,No,No,,
